%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
343450000000,3049,343450000000,base_link,-4.3143082456903335e-05,-0.0005464718575726082,-0.005283765774320772,0.9999858905636748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027575248245806695,-0.0009150249435423523,0.0002464798836471424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9705119221125194,-2.428446998774103,22.57028423004329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343451000000,3050,343451000000,base_link,-4.430306083900405e-05,-0.0005397602857639238,-0.005283239551138245,0.9999858969385109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00237624117271774,0.01342786653028169,0.0010463041218548676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7046582231425259,0.9143615110317849,4.4047186318354115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343453000000,3051,343453000000,base_link,-4.33434672183925e-05,-0.0005272526450236296,-0.005282433977279032,0.9999859079093404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003890477292874839,0.011800327979695798,0.0005178160811948046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013975798205418636,-0.16756871447897034,25.947503690346736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343459000000,3052,343454000000,base_link,-4.208417509122421e-05,-0.0005220479942995651,-0.005282759439787128,0.9999859089744791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024666709877602822,0.010418602576927189,-0.0006615436184318398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04865425044591797,0.03500129634991684,2.104933772046243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343459000000,3057,343459000000,base_link,-4.330767742331352e-05,-0.00048246705768087824,-0.005288272474597758,0.9999858996626992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007488380176791878,0.0334105720291637,-0.003499152756406494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5708942696223482,0.30143718626468136,3.1124464334839264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343460000000,3058,343460000000,base_link,-3.611187837833444e-05,-0.0004995817354433172,-0.005289800688331051,0.9999858834617115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014571654061915988,-0.034154495549848875,-0.0030637725488551837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.006211327020223,-0.5314541620620332,10.885811926105776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343461000000,3059,343461000000,base_link,-4.349805958154704e-05,-0.000470160430341556,-0.005293231936460192,0.9999858792766804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011460959860344549,0.05716481422727563,-0.005823311888096972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.226544467727102,0.9418201182544786,13.182793103765885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343462000000,3060,343462000000,base_link,-3.393275469740465e-05,-0.0004767371540221275,-0.005296631314420448,0.9999858585334961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019197356046509396,-0.013053952111065003,-0.006810378220203762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0926811417599644,-0.8663811630000734,9.936818005094594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343466000000,3061,343463000000,base_link,-5.5650371003900254e-05,-0.00046458723896723476,-0.00530119516163962,0.9999858390955303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04356786063802084,0.024069687903289037,-0.00910614908500347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.237735681247947,1.9321395671064074,4.751214395800134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343466000000,3064,343466000000,base_link,-4.1289323734587325e-05,-0.0004536408458248074,-0.005291401390034166,0.9999858966888006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017015891309425244,0.02146920748445046,0.006508162878725672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9608597135812411,1.473805103381364,18.138360690899933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
