%time,field.name0,field.name1,field.name2,field.pose0.position.x,field.pose0.position.y,field.pose0.position.z,field.pose0.orientation.x,field.pose0.orientation.y,field.pose0.orientation.z,field.pose0.orientation.w,field.pose1.position.x,field.pose1.position.y,field.pose1.position.z,field.pose1.orientation.x,field.pose1.orientation.y,field.pose1.orientation.z,field.pose1.orientation.w,field.pose2.position.x,field.pose2.position.y,field.pose2.position.z,field.pose2.orientation.x,field.pose2.orientation.y,field.pose2.orientation.z,field.pose2.orientation.w,field.twist0.linear.x,field.twist0.linear.y,field.twist0.linear.z,field.twist0.angular.x,field.twist0.angular.y,field.twist0.angular.z,field.twist1.linear.x,field.twist1.linear.y,field.twist1.linear.z,field.twist1.angular.x,field.twist1.angular.y,field.twist1.angular.z,field.twist2.linear.x,field.twist2.linear.y,field.twist2.linear.z,field.twist2.angular.x,field.twist2.angular.y,field.twist2.angular.z
418018000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.331263648578504,0.005130962341392446,-0.23655125730430526,-0.03153150095013671,-0.030889235945508554,0.7129956286891233,0.6997777168649602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081690473326565,0.003055222099848819,0.010292717841497536,-0.013554376274081827,-0.0592873156087995,-0.004448429934285692
418019000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.3311776910381385,0.005130124490689449,-0.23653943239991854,-0.03150404016801185,-0.03089941597978312,0.7129919761970536,0.6997822257129864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0859574489271397,-0.0008377729084194922,0.011824780447695022,0.053459351168202066,0.024960266269573334,-0.009202634129996086
418020000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.33109192107378654,0.005127749216796064,-0.23653512406082916,-0.03149605985242011,-0.03093222072416847,0.7129807697681743,0.6997925534582559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08576996900086814,-0.0023753938347702854,0.004308317020898369,0.05928943714961631,-0.03460054456412822,-0.027853142734085717
418021000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.331003047356599,0.005121107005807833,-0.23653051584831564,-0.03143582003073307,-0.030946584935169094,0.7129740896216369,0.6998014329994214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08887368110721748,-0.006642123894199498,0.00460814524927566,0.10576685787506636,0.06592414655050101,-0.017380178727678292
418022000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.3309143279403168,0.005119785657934521,-0.23650506569553367,-0.03143679766996786,-0.030943409865677063,0.7129745963084488,0.6998010132580166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08871915584652305,-0.001321481436040583,0.025450106981698434,-0.005953403037453671,0.0030553214727451912,0.0010459701633994825
418023000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.33082542063637976,0.0051186095549103985,-0.2364893650023317,-0.03143833927133348,-0.030941651681574707,0.7129754423234589,0.6998001598018858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08890730393702521,-0.0011761030241223705,0.015700693201967784,-0.004770726630460661,0.00026288712968949645,0.0021951212415160333
418024000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.3307356800458989,0.005119594845042244,-0.23647021538462143,-0.03144590794849178,-0.030941592153653313,0.7129746550359881,0.6998006244814345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08974046306034955,0.000985143743751451,0.019149595503117282,-0.010600175263397805,-0.01072998549005726,-0.0022374237426664124
418025000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.3306435070050856,0.005118648975884361,-0.23645524072039384,-0.03143109827264911,-0.03094214751370528,0.7129719987720335,0.6998039715060402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09217294677212368,-0.0009457833862031634,0.014974534614805302,0.02189434166994816,0.020381333634131624,-0.007538708572644817
418026000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.3305497971646266,0.005121276087447797,-0.236433325901871,-0.031429907050156906,-0.03093325726560233,0.7129729788311445,0.6998034195360887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09370967516159755,0.0026270392964950905,0.02191479268234692,-0.011104941763418107,0.01416871535443864,0.0016727502008633773
418027000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.3304559529854186,0.0051239702229561755,-0.23642116464538213,-0.03142916502123317,-0.030925097471177578,0.7129741019603667,0.6998026692334597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0938441792080324,0.0026941355083783735,0.012161256488869935,-0.01071352509337212,0.01250277831261891,0.002174813923950005
418028000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.3303621433090324,0.0051256997176657125,-0.23639766945107296,-0.031427487114409326,-0.03092582039943669,0.7129750433802068,0.6998017535011524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09380958958792907,0.001729573836873491,0.023495218761588665,0.00326447280584949,0.001383127979618911,0.002773054328145306
418029000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.3302683837291877,0.005127519509212964,-0.2363834006619271,-0.031433366151173536,-0.03093011122829213,0.712976055452321,0.6998002686934756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375957797552434,0.0018197907045888815,0.014268790212172389,-0.0022657641640529756,-0.01441686895329136,0.003439799532813267
418029000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.3301719138068964,0.005128860807571925,-0.23636088191726215,-0.03142399996684873,-0.03092040097754328,0.712974235515729,0.6998029726431813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09646988193110494,0.0013413417639889132,0.022518529752885135,-0.0004533739233353418,0.027000387952672865,-0.006435738006046231
418031000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.3300753170489439,0.0051302108995135345,-0.23634813772632374,-0.03141538891871718,-0.03091144391507546,0.7129724002254993,0.6998056247922428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09659675795254216,0.0013500919416095018,0.012744190938401918,-0.0004400572872277124,0.024863935506107174,-0.0063809303558678455
418032000000,ground_plane,Floor,khm2,0.252724,-0.228037,0.0,0.0,0.0,0.0,1.0,-0.010923,0.300375,-0.916015,0.0,-0.04361937829633988,0.0,0.9990482219778186,-0.32998027294129095,0.005131752525118175,-0.2363248247249244,-0.031415044254912934,-0.030910746373664283,0.7129716888493502,0.699806395835584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09504472606887365,0.001541621083664433,0.02331284900283313,-0.00042156462515448463,0.0014509686424803254,-0.0021115761668355727
